content,score
"maksudnya gimana saya ga merasa berlangganan di dalam aplikasi lain kok tiba-tiba berlangganan pas saya mau transaksi sama temen tiba-tiba saldo habis gara gara itu gimana tuh masa otomatis berlangganan aneh, ya emang terhubung ke google play store tapi kok gitu bayar otomatis di tagih otomatis wah parah emang ni aplikasi ga aman sama sekali gue aja bahkan ga ngerasa berlangganan di aplikasi lain, Dana Parahhhhhhhh 🙁",1
"apk bagus, cuman masih ada celah, untuk di retas/bajak.. trutama untuk akun dana yg sudah pernah login di hp yg sama. . gaperlu scan wajah. asal tau pin/sandi bisa langsung masuk.. seharus nya setiap logout akun di hp yg sama pas masuk lagi harus scan wajah lagi/otp no tlpn.. ( login akun pertamakali harus scan wajah dan sandi. setelah logout trus login kmbali di hp yg sama kenapa tidah ada chan wajah/kode otp no tlp. masukan pin saja sudah bisa login.. )",5
"Kecewa berat karena proses ganti nomor hp lama tidak bisa padahal sudah premium. Sudah sistem online, kenapa susah betul dana melakukan hal sepele dengan asumsi demi keamanan akun pengguna. Ini namanya pihak dana secara tidak langsung menyebut penggunanya tidak aman. Sangat layak dapat bintang 1.",1
"saya mengalami masalah dengan dana instant terjadi error ketika ingin mengajukan ulang, sebelumnya lancar, bisakah di bantu dengan kendala saya pusat Diana sama sekali tidak membantu, saya sudah membuat laporan terkait error nya dana instant sampai sekarang belum teratasi sudah 2 bulan berjalan sampai saat ini masih error juga",3
"dana cicil masih ada limit 100ribuan lebih mau buat beli kuota karna posisi urgent malah ga bisa kepake tulisannya sedang tidak tersedia, terus chat diana juga percuma ga bantu sama sekali buat kejelasannya. sudah 1bulan nda bsa di pake padahal enak tuh kalo bisa di pake pas lg posisi urgent. aneh emg ini",2
"Saya beli paket data di dana ga masuk selama 5h, pas di sms sudah masuk tapi saya cek di bima+ ga ada sedikit pun kuota yang masuk. Pelayanan nya jelek banget ga bisa kasih kompensasi, kalo kaya gini kan saya rugi 26rb!! SUNGGUH MENGECEWAKAN, TIDAK AKAN SAYA MEMBELI PAKET DATA ATAU PULSA LAGI DI APK DANA!!!!! 😠😠😠😠 TOLONG BERIKAN SAYA KOMPENSASI UANG KEMBALI!!!!!!!!!!!!!",1
Aplikasi dana ini makin kesini tidak betul melayani pemilik akun dana dengan baik... saya sudah melaporkan terkait masalah yg ada di akun dana saya...yang mana selalu di minta agar upgrade berulang ulang dan nama saya yang tidak terlihat di profil saya padahal akun saya sudah premium.... sudah lapor ke pusat bantuan dan bukan mengatasi masalah malah di suruh menunggu sampai berhari2 ... semakin hari E walet ini semakin bermasalah dalam melayani pemilik akun ...,1
"parah minta di upgrade pas udah masukin semua data ,Malah verifikasi nya lama banget,dokumen sedang di cek terus,padahal saya urgent mau transaksi kirim uang,,sumpah kecewa banget!!!!!,harus nya udah antisipasi lah kalo aplikasi nya udah lumayan banyak penguna nya,,fikirin ke penguna nya kasian kalo meski terhambat gara gara upgrade kaya gini,apalagi yang kebutuhannya mendesak/urgent!!!!!;",1
App DANA Dompet Digital Indonesia (e-Wallet) Memang Sangat Bagus. Tampilan Menu Juga Transaksinya Lengkap/Muda/Aman & Terpercaya. Tapi akhir-akhir ini jaringan transaksi keuangannya mengirim / menerima sering gangguan & bermasalah bisa sampai 1×24 jam lamanya..!?!?,4
"aplikasi gajelas, saya top up Flazz dri dana tidak masuk padahal sudah terpotong, hadeh saya udh lapor cs nya si diana tpi responnya muter muter seperti tidak ingin membantu, aplikasi kikir!!!! jika tidak bisa membantu minimal refund saldo saya!!!!!!!!!",1
Sementara kasih bintang 2 dulu Soalnya Riwayat Transaksi sering gak bisa dibuka pas transaksi. Jadi kita mau nunjukin bukti transaksi gak bisa jadi kita malu kan. Apalagi terus diminta bukti transaksi sedangkan Riwayat transaksi sama sekali gak bisa dibuka sangat menyebalkan.,2
"tolong perbaiki pemotongan saldo otomatis tanpa pesetujuan saya. pembayaran item google play, saldo saya terpotong, dan sudah di refund tapi di tolak, kenapa pihak dana tidak bertanggung jawab atas saldo dana pemilik, saya biasanya melakukan pembayaran harus memasukan pin tapi ini tidak, malah terpotong otomatis, dan tidak ketahuan, padahal saya pun sudah mengaktifkan otentikasi biar saat melalukan pembayaran harus memasukan pin, tapi ini masih jebol/terpotong otomatis, tolong refund saldo saya.",1
"saya dapat limit dari dana cicil ketika saya gunakan transaksi pakai qris kenapa tidak bisa ya? setelah vermuk langsung balik lagi ke tampilan depan dan tidak ada pesan transaksi berhasil atau tidak..pdahal akun sudah premium sesuai syarat dan sering transaksi pembayaran pkai dana..maaf saya turunin 1 bintang krn dana cicil saya tdk bisa dipakai, terima kasih.",3
"Sudah bertahun-tahun pakai DANA, tapi sangat kecewa berat sekarang. Saya tarik saldo dari fitur DANA Plus ke rekening BRI tanggal 14 Mei 2026, jam 12.13 WIB senilai Rp 20.017.256,-. Di aplikasi tertulis SUKSES / BERHASIL, tapi kenyataannya: ❌ SUDAH LEBIH DARI 7 HARI, UANG TIDAK PERNAH MASUK KE REKENING SAYA. Saya cek mutasi berkali-kali, kosong sama sekali. Padahal nomor rekening saya ambil langsung dari aplikasi BRImo, sudah pasti benar, milik saya sendiri, tidak ada salah ketik sedikit pun.",1
"aplikasi sangat berguna, sangat disayangkan akun saya tidak ada fitur dana instan padahal transaksi perbulan lebih dari 5juta perbulan, aplikasi instan yang sering digunakan cukup memuaskan, kedepannya tolong kasih fitur dana instan untuk akun ku",5
"pengaturan terbaru, agak menyusahkan, seperti memaksa customer untuk deposit 2x dan dikenakan admin top up 2x. dulu bagus. sekarang kinerja maulai turun. untuk aset investasi rasa gantung. skrg banyak gk nyamannya. terutama fitur baru, Bi Fast. jika nomor itu sdh digunakan direkening pada bank. saat tranfer malah akan error karena sdh terdaftar di rekening bukan dana. karena memaksakan fitur baru tapi tidak matang, hasil nya adalah jelek.",2
"sangat buruk, mau login tapi kenapa tngin mendapatkan kode OTP melalui SMS gk bisa, selalu loading terus, padahal no telp aktif dan sedang saya pakai, tolong dipermudah untuk mendapatkan kode OTP melalui SMS",1
"kenapa dana saya lemot sekali,tadi siang saya top up dana tapi notifikasi nya masuk uang nya tetap sama nominal nya tidak bertambah tolong di perbaiki,pas saya masuk ke dana nya lagi masalah kendala saat mau login balik ke akun dana itu?",3
"Awalnya emang banyak kendala, lalu saya coba berbagai cara login dan terakhir cara akhirnya bisa. selain itu pihak delev sangat responsif terhadap kendala. terimakasih, kalau balik kendala saya bintang 1 lagi. sementara aman Maka bintang 5. thanks",5
aplikasi yng bagus kenapa pas aku login akun ku masalah jaringan mulu padahal akun ku udah benar smuanya kok masalah jaringan yang bermasalah pas aku login akun ku.. jadi tolong perbaiki aplikasi nya ya secepat mungkin aku mau login akun ku.,3
"saya benar² kecewa dengan aplikasi ini, aplikasinya mudah sekali di hack, saldo sy hilang 2x... sudah membuat laporan selama 3 hari tidak ada follow up, yang ada pertanyaan yang diulang²... giliran sudah dapat follow up, menunggu antrian, diminta kembali dilain hari, giliran menagih antrian untuk tindak lanjutnya apakah saldo bisa kembali, pertanyaannya diulang² terus,,customer service yang benar² tidak dapat membantu, sistem keamanannya benar² diragukan dan sangat mudah di retas..",1
"sering terjadi transaksi tanpa sepengetahuan saya,tiba-tiba mendapatkan notif transaksi telah selesai dan saat saya cek di play store pada anggaran tidak ada riwayat dan saat di ajukan refund malah tidak bisa,cukup meresahkan dan mengecewakan karena pada saat itu uang yang harusnya tinggal 90k untuk membeli makan malah tinggal 6k, itupun klo saya di lingkungan keluarga tidak akan mempermasalahkannya, masalahnya saat itu saya sedang sedang jauh dengan keluarga dan tak ada orang yang peduli!!",1
"sekarang masalahnya begini: melebihi limit transaksi penyedia jasa itulah tulisan yang nongol waktu kita masukin nominalnya, padahal cuman kirim 1 juta , di mana masalahnya ini , biasanya bisa kok bahkan saya pernah kirim 10 jutaan bisa kenapa sekarang ga bisa ya?",1
"kenapa saya gak bisa login ya udah ada 2 hp di coba tetep gak bisa dan udah ganti nomor percobaan login tetep gak bisa muncul tulisan ""UPS sedang ada kendala coba lagi sambungkan ke data seluler atau WiFi",1
agar di perbaiki Apl nya. kirim uang dari dana ke No rekening dan saldo Dana Terpotong tapi rekening Tujuan blm ada Masuk uang nya dan tdk ada solusi nya dari Apl dana memalui CS nya. Aplikasi yg Kurang bagus unt di gunakan.,1
"Limit Dana Cicil tidak Bisa di gunakan,Padahal Walaupun pernah Telat tapi tidak Ada Tunggakan..Dan Saya sudah menunggu 3 Bulan lebih Tetap tidak bisa Di gunakan,Susah Untuk membuat laporan Tidak Ada Respon Dari Email Dan Akun sosial Media Lain nya.",1
"Mengapa setiap melakukan pengajuan fitur Dana cicil saya di suruh menunggu 30 hari, sudah 3 kali mempertanyakan hal ini costumer service jawabannya selalu sama, padahal saya sudah menggunakan aplikasi Dana sudah 2 Tahun. Tolong lah, saya butuh fitur seperti ini saat keadaan terdesak seperti saat habis kuota, pulsa, ataupun token listrik dan banyak lagi.",1
"Aplikasi DANA menurut saya sangat membantu dalam kehidupan sehari-hari. Tampilannya sederhana dan mudah dipahami, bahkan untuk pengguna baru. Proses transaksi seperti transfer, pembayaran tagihan, dan pembelian pulsa bisa dilakukan dengan cepat tanpa ribet. Keunggulan lain dari DANA adalah banyaknya promo dan cashback yang menarik, sehingga pengguna bisa lebih hemat. Selain itu, keamanan akun juga terasa terjamin dengan adanya fitur PIN dan verifikasi tambahan.",5
kemana saldo saya setelah saya mengirimkan sejumlah uang namun tidak diterima pihak penerima dicek bukti mada namun sedang gangguan setelah beberapa saat dicek lagi riwayat kosong dan saldo tidak kembali apa solusinya ini ?? menu bantuan yg ada chat otomatis tidak membuahkan hasil !!!!!!!👎,1
"Tolong buat devoliver dana saya sudah nunggu 24 jam tapii masih saja gak bisa tf uang ketika saya mau tf uang selalu keluar pemberitahuan ""yah, banyak orang yang lagi bertransaksi. Coba lagi dalam beberapa menit ya"" tapi saya sudah nunggu 24 jam masih saja gak bisa tf uang untuk devoliver dana tolong lebih di perhatikan",1
"bener bner ngga aman, kok masih bisa login dari perangkat lain pakai fitur lupa pin tanpa persetujuan perangkat yang terpercaya dahulu, padahal sudah d hapus perangkat yang sebelum nya. sudah pakai proteksi extra juga ngga ngaruh sama sekali. tolong lah bagaimana ini",1
"akun dana saya mengalami membajakan oleh beberapa hp, dan mengalami banyak transaksi, sampai pin nya bisa diganti oleh si pembajak ini, sudah melakukan laporan kepada diamacs namun seperti biasa dana selalu bertele tele urusan laporan begini, fyi ini bukan kali pertama dana bermasalah, saran untuk perlindungan keamanan dana lebih di perketat, termasuk urusan pergantian pin disetiap akun, yang semestinya menggunakan beberapa step agar lebih aman",1
"Sekarang apk jadi lebih berat, buka apk lain lancar tapi giliran buka Dana loadingnya lama. Terjadi kegagalan transaksi dalam aplikasi, namun saldo tetap kepotong dan tidak terkirim ke penerima. Tidak ada laporan pada aktivitas, sehingga saldo ngga jelas hilang ke mana.",2
ketika mau login lagi karena hp kerestat atau ganti hp kenapa kirim otp hanya melalui email saja soalnya email yang tercantum sudah lama dan penyimpanan penuh apakah tidak dapat di kirim melalui SMS atau WhatsApp Mohon perbaikannya,2
"Susah banget upgrade ke premium!!!! nmer lama sudah tidak aktif 6bln yg lalu,giliran ganti nmer baru mkin ruwet,sudah verifikasi wajah n kirim otp masih aja tidak bisa,mana sudah top up lagi mau transaksi SUSAH klu kyak gini!!!! tolong fast respons!!!! biar senang para pengguna DANA!!! KASIH SOLUSI YANG BAGUS TANPA RIBET!!!!",1
"layanan aplikasi dana bisnis sy tidak bisa di cairkan padahal ada saldo ngendap disnaa, tidak bisa karena alasan verifikasi wajah yang tidak bisa dan sy juga sudah hubungi diana namun sampai sekarang belum ada informasi kelanjutannya gimana, sy sudah nunggu satu bulan sampe sekarang masih tidak bisa di tarik sebell banget",2
"Dana sekarang banyak S&K tidak seperti awal dulu, terlalu banyak program sehingga sering ada bug. Dulu bug biasanya karena aplikasi minta update, sekarang meski gk ada update masih ada bug seperti kupon A+ dan kupon Deals yg sudah dibeli gak bisa dipakai, mulai : kupon potongan harga kupon A+ berikutnya, kupon pulsa, kupon listrik, kupon retail yg diskon langsung saat bayar. Cuma kupon Toped, Alfa dan Indomaret yg muncul kode untuk dimasukkan manual saja yang aman untuk dibeli dan bisa digunakan",3
"Aplikasi DANA menurut saya sangat membantu dalam kehidupan sehari hari tampilannya sederhana dan mudah dipahami,Aplikasi DANA rekomendde tapi sayang ada keluhan sedikit di akun DANA CICIL saya tidak bisa digunakan limidnya mohon untuk cs di bantu DANA CICIL saya untuk sementara saya kasih bintang ★★★★. saya janji kalau masalah di akun DANA CICIL saya bisa di gunakan saya tambahkan satu lagi bintang. terimah kasih",4
"NOT RECOMMEN!! JELEK BANGET, disitu jelas² aku beli kuota yang 6rb, pas pembayaran juga 6rb tulisannya. pas selesai pembayaran malah kekuras dana aku 16rb lebih! aku udh laporin, minta bantuan tetep aja ga di terima, bantuannya bikin binggung, ga bisa di andelin, nanya apa jawab apa. aplikasi penipuan, jangan download, KEJADIAN INI GA SEKALI DUA KALI, TOLONG Kembalikan saldo aku!!",1
"apknya bagus, tapi kenapa kok tiba tiba dana fiz yang dinonaktifkan, tiba"" aktif kembali, padahal sudah verif wajah. Saya sudah mengajukan pemberitahuan di costumer service, tapi tidak dapat tanggapan yang berguna untuk mengatasinya. Tolong ini kenapa?",3
"pembelian kuota sudah dibayar,saldo dana pun sudah berkurang, eh malah masuk ketagihan dana cicil, tagihan jadi bertambah, aneh banget cara nyari keuntungan nya, udah bayar malah d hitung jadi utang, bukan masalah nominalnya yg receh tapi tolong dong amanah",1
"selalu mudah untuk transaksi tersedia di bnyak merchant masalah nya cuma satu,dana cicil nya limit nya dikit ...dan sulit di pakai kadang bisa kadang engga padahal selalu bayar sebelum jatuh tempo.harus nya di permudah ya dan naikin limit nya",4
"akun sering terhubung otomatis ke marchant toko pedia dan tidak bisa di hapus melalui dana harus lewat aplikasi, sedangkan saya tidak menggunakan Tokopedia kenapa malah terhubung otomatis, nanti kalau udah bisa di hapus akun yang tersambung ke dana baru di kasih bintang 5",2
"awal' sih bagus. tapi kenapa yaa belakangan ini kalo bayar pake qris, qris nya suka gabisa, padahal saldo cukup, dan jaringan sangat stabil, kadang tulisannya ""maaf fitur ini tidak dapat digunakan"" itu knp ya? dan gimana ngatasinnya. terimakasih.",4
"sebenarnya saya lebih suka make apk dana ini untuk transaksi karena belum punya bank juga, tapi tolong yah buat pengisian data kenapa tiap saya beli data, data hanya bisa di pake sebentar, saya beli yang 5GB 3 hari tapi belum ada 2 jam sudah habis, padahal di hp saya itu ada rincian penggunaan data berapa, di situ tertulis hanya terpakai 60 MB sudah habis, sedangkan saya beli 6 GB, duh gimana nih dana, sudah 2x permasalahan saya gini, dah minta bantuan juga tidak membantu",3
"kak ini Uda coba masuk dana uda masukin nomer juga nah habis itu loading terus keluar sendiri dari apk nya sama ada tulisan ""dana telah berhenti"" disitu uda coba berbagai cara tapi tetep ajaa sama uda diulangi beberapa kali juga sampe unistal dana trs download lagi dan sampe berulang kali tetep Kya gitu, sebelumnya di hp satunya aman' aja lancar banget pas masuk tapi tiba' yang di hp ini banyak kendalanya mau masuk tiba' keluar sendiri sama ada tulisan ""dana telah berhenti""",1
"aku harap ada fitur mengelola keuangan harian, maksudnya jika user menyimpan uang 3jt disebuah fitur baru ini dan mengatur keuangan nya yg misal 100rb sehari, maka perharinya user mendapatkan 100rb yg keluar dari penyimpanan itu, dan penyimpanan itu perlu verifikasi wajah atau apapun itu jika user ingin menarik kembali seluruh uang nya itu... aku harap developer mengerti apa yg saya harapkan. terimakasih",5
"Sangat kecewa, Kenapa saya tidak mendapatkan fitur dana cicil,dana instan, padahal saya rutin ber transaksi di aplikasi ini,,,tolong muncul kan fitur dana cicil dan dana instan di akun saya,,,,,TOLONG MUNCULKAN FITUR DANA ISNTAN/DANA CICIL SAYA,Sangat kecewa",1
"aplikasi oke tpi masalahnya sering banget gangguan padahal update/jaringan full cepat giliran mau pilih riwayat transfer sering banget eror sial tolong pihak apk dana perbaiki dan kalo bisa jagn sampe terulang kembali. keseringen eror mau cek history transfer malah gk bisa kebuka loading trus pdahal jaringan 5G full no leg² di apk lain,tolong pihak bantuan dana slesaikan masalah secepatnya.",3
"saya beli ke kedai jam 12 malam dan saat mau bayar malah error, tulisan coba lagi. saya masih maklumi karena mungkin ada maintenance server, tapi besoknya jam 9 malam, bahkan belum jam 10 gangguan lagi. untung itu kedai, bisa saya balikin. kalau saya makan di warung atau semacamnya? bayar pakai apa kalau lagi tidak pegang uang cash? intinya perbaiki dulu baru saya naikin bintang",1
aplikasi aneh. dana cicil sudah di lunasi tetapi setelah itu tidak bisa di gunakan. padahal saya tidak pernah menunggak. dan satu lagi limit saya tersedia jelas. anehnya tidak bisa di gunakan sama sekali sudah 2 hari. tidak ada solusi sama sekali sampai sekarang !!! tolong di perbaiki. dana cicil saya tidak ada masalah sama sekali !!!,1
"sudah masuk kan sandi yang benar dan sudah verifikasi wajah juga sudah. tetap meminta kode otp, padahal nomor sudah tidak aktif. trus minta otp lewat email, tetapi email terdaftar dan meminta otp berbeda . aneh aplikasi terlalu banyak boot dan tidak sesuai seperti awal",1
"Manurut saya aplikasi nya lumayan bagus dan berguna cuma ada sedikit kendala yaitu saat ingin top up game selalu error dan di tolak, namun untung nya ada fitur tukar voucher goggle play yang memudahkan untuk melakukan top up game, seterusnya nya semoga update semakin bagus dan canggih dan kurang kurangkan error di setiap melakukan pembelian",5
awal2 sih bagus ya. semuanya mudah. tp ko skrg agak menurun kualitasnya. tiap pembayaran pake qris klo aplikasi nya terlanjur ditutup ga klik detail transaksi hilang bukti pembayarannya dicek di aktivitas pasti update nya ga muncul. terus skrg adminnya ko agak besar ya untuk transfer atau qris.padahal sebelumnya admin nya untuk transfer cuma Rp.500 untuk yg dalam sehari transaksi berkali2 sih agak lumayan ya.,3
aplikasi nya bagus oke cuma 1 mins nya ketika kita belangganan dan lewat dana secara otomatis akan tersedot duit kita sesuai harga yang di tentukan jadi tolong beri peningkatan supaya duit kita tidak langsung tersedot langganan yang melalui dana karna saya sudah mengajukan refund belum ada balesannya tolong secepat mungkin dana mengajukannya,4
"setalah update pelayanan sistem semakin buruk, jaringan saya lancar2 saja jika untuk scroll video namun saat scan barcode terjadi kendala jaringan, atau fitur tidak tersedia. sudah saya refresh hp tetapi tidak berpengaruh. tolong di tindak ketepatan sistem nya.",1
"Agak ribet karena ada limitasi payment dan harus upgrade ke premium, padahal sebelumnya bisa transaksi tanpa premium, saya sudah terlanjur topup saldo ternyata ada limitasi transaksi. Saran saja, kalau memang mau di limitasi sebaiknya dari awal dilimitasi saja agar bisa upgrade premium langsung, sedang urgent coy lagi diskonan steam wallet malah ada limitasi ya Allah 😣",1
"saya udh lumayan lama pake dana, baru kmrn temen saya akun nya keretas ,saya coba hubungin ke ig dana nya trus di suruh kirim nomer sama email dan bukti transaksi ulang yg hilang nya katanya mau di lacak, tapi sampe saat ini ngga ada responnn!!!! kecewa banget sama respon nya yg lambattttt",2
"saya ingin login keakun saya sendiri kenapa di persulit yah🤦,saya pindah akun saya dari perangkat,sebab perangkat saya yang satunya lagi kena musibah jatuh hingga pecah,terus saya login di perangkat baru menggunakan kata sandi yang benar dan verifikasi wajah juga centang biru Artinya sudah valid,kenapa harus meminta izin juga ke perangkat saya yang LCDnya rusak pecah ,,saya tidak mengerti FUNGSI dari verifikasi wajah untuk apa,kalo buat masuk harus izin lagi ke perangkat yang sudah rusak😵‍💫",1
"menurut saya dana ini bagus dan baik, dari saya sementara ini cuma 1 masalahnya ukuran aplikasinya makin besar tiap kali di update. kan ga semua pengguna dana HP nya bagus² atau ram besar dan memori hp nya juga besar, kalau kaya hp kentang kaya punya saya ya malah makin lemot Dana nya di hap saya. 🙏🙏🙏",5
"aplikasi dana emang terbaik, saya pernah transfer tapi uang belum terkirim dan saldo kurang, tapi di kembalikan lagi, bahkan dapat kompensasi terimakasih dana, dan tolong dong aktifkan dana instan saya, saya sudah lama menggunakan dana, akun juga sudah premium, tapi fitur dana instan belum muncul",5
"saya sudah bilang kalau saya tidak bisa akses email saya karena lupa, tapi oleh cs dana di sarankan untuk kirim terus kode otp sampai terganti sendiri dan nyatanya sampai limit otp pun masih kirim kode otp via email. itu bukan opsi namanya. opsi itu kasih solusi.",3
semua fitur bagus... hanya saja kebiasaan yg sering terjadi pada fitur dana cicil... sudh di lunasi sebelum jatuh tempo malah tidak bisa di gunakan hampir 1 bulan tidak tersedia tapi fitur dan saldo ada... guna nya buat apa KLO ga di bisa di gunakan... percuma donk saya jaga akreditasi pembayaran tapi fitur ga bisa di pakai LG...,5
"mau login engga bisa otp dikirim hanya lewat email engga ada pilihan lewat SMS atau lewat WA,, email-nya udah engga aktif engga bisa login lagi meminta tolong ke pusat bantuan engga jelas!!!! nyusahin!!!",1
"sudah lumayan bagus selama menggunakan apalikasi ini..... masih terbilang lancar.... cuma sayang tolong tambahkan fitur notifikasi suara uang dan nominal masuk karena kan gak bisa trus mantengin layar hp, jika ada suara notifikasi kan enak gak perlu cek dan pantengin hp trus.... trimkasih selalu berinovasi dan sukses.",3
"Baru ini aplikasi yang kalo kita salah transfer ke mo yang udah mati gak bisa di cancel 😔 perusahaan sebesar DANA gak bisa tarik kembali saldo yang sudah masuk! jelas no tlp yang di tuju sudah mati lama , ini merugikan pengguna setia , kecewa banget bagusnya di uninstal rame2 gak mutu",1
"saya turunkan jadi bintang 1, pelunasan dana cicil lebih cepat dari target, ternyata tidak dapat diskon, malah setelah limit kembali, jadi tidak bisa digunakan, malu jadinya di beberapa cofee shop dan resto waralaba tetap dicoba malah tidak bisa. tidak recomended",5
"Tolong dong min, dana saya sudah upgrade premium tapi pas mau bikin akun bisnis malah minta upgrade premium, pas saya tekan upgrade dia muncul dana sudah premium tapi pas mau bikin lagi disuruh upgrade lagi, gitu terus mutar mutar, tolong dong",4
"Masih terjadi, udah coba hapus chache hingga hapus data, sampai reinstall aplikasi masih tetap froce close, Cuman bisa pasrah tunggu update selanjutnya,semoga tidak terjadi hal yang sama, sering kali terjadi, setiap kali ada update , dan harus menunggu lama agar bisa dibuka kembali,terakhir kali bisa dibuka kembali di versi 2.111 pas update terjadi lagi hingga diupdate terbaru yang sekarang masih froce close/aplikasi berhenti hingga sulit untuk login,semangat buat developer untuk update terbaru",4
"susah kali hubungin costumer service dana ini, sudah jls akun dana saya hilang, gak bisa di buka karna nomornya hilang, dan malah di bekukan, gak bisa masuk, padahal, sebelumnya, masukkan sandi, dan verifikasi wajah, malah kelen suruh daftar, lol. gimna daftarin nomornya hilang, dan kalian bekukan....padahal saldonya masih ada,",1
"Kecewa banget sama afk nya padahal udah vermuk sandi tau ttp ga bisa masuk gara² no uda ga aktif , padahal dulu sandi ama vermuk langsunh masuk sekarang sengaja banget untuk masuk di persulit padahal ada isi saldo yang agak lumayan ga kecil",1
"ketika pencet lanjut saat mengirim saldo tampilan pertama loading terus lamaaa, terus error, nah yang kedua baru bisa kirim,padahal jaringan bagus, lalu juga pas pertama masuk terus refresh tiba² forceclose, anehh tolong dengan sangat untuk diperbaiki bug/masalah ini",4
"ya Allah mau nangis, mau kirim ke Bank lain (seabank) buat co shopee kok tulisannya malah ""sedang ada kendala pada bank tujuanmu. jangan khawatir, kamu bisa coba lagi nanti"" tapi di coba terus gabisa.. udah di restart hp, hapus cache, paksa berhenti, bahkan sampe di uninstall pun gabisa ini gimana?!! masa iya pesanan ku bakal dibatalin kl gabisa dikirim gini?!!! harus gimana coba ini??! pusing bgt. liat tutor yt blg tunggu jeda 6 jam kl emang 6 jam ga ada perubahan, aku kecewa bgt sih sama DANA.",1
